"Col0","Col1","Col2"
7252,19544,0.052
7252,19543,0.052
7252,19501,0.033
7252,19502,0.03
7252,19503,0.051
7252,19504,0.051
7252,19505,0.05
7252,19506,0.051
7252,19507,0.029
7252,19508,0.034
7252,19509,0.051
7252,19510,0.051
7252,19511,0.051
7252,19512,0.038
7252,19513,0.026
7252,19514,0.049
7252,19515,0.05
7252,19516,0.05
7252,19517,0.042
7252,19518,0.021
7252,19519,0.048
7252,19520,0.048
7252,19521,0.047
7252,19522,0.047
7252,19523,0.034
7252,19524,0.028
7252,19525,0.049
7252,19526,0.049
7252,19527,0.046
7252,19528,0.049
7252,19529,0.047
7252,19530,0.022
7252,19531,0.041
7252,19532,0.047
7252,19533,0.049
7252,19534,0.616
7252,19535,0.259
7252,19536,0.073
7252,19537,0.05
7252,19538,0.051
7252,19539,0.051
7252,19540,0.051
7252,19541,0.024
7252,19542,0.046
7252,20045,0.039
7252,20046,0.052
7252,20047,0.081
7252,20048,0.078
7252,19546,0.032
7252,19547,0.037
7252,19548,0.053
7252,19601,0.052
7252,19602,0.052
7252,19603,0.038
7252,19604,0.03
7252,19605,0.053
7252,19606,0.053
7252,19607,0.051
7252,19608,0.042
7252,19609,0.025
7252,19610,0.052
7252,19611,0.053
7252,19612,0.052
7252,19613,0.046
7252,19614,0.023
7252,19615,0.054
7252,19616,0.052
7252,19617,0.05
7252,19618,0.039
7252,19619,0.028
7252,19620,0.049
7252,19621,0.047
7252,19622,0.048
7252,19623,0.032
7252,19624,0.029
7252,19625,0.048
7252,19626,0.048
7252,19627,0.047
7252,19628,0.034
7252,19629,0.025
7252,19630,0.048
7252,19631,0.047
7252,19632,0.048
7252,19633,0.048
7252,19634,0.028
7252,19635,0.032
7252,19636,0.048
7252,19637,0.047
7252,19638,0.047
7252,19639,0.048
7252,19640,0.033
7252,19641,0.027
7252,19642,0.048
7252,19643,0.046
7252,19644,0.048
7252,19645,0.048
7252,19646,0.041
7252,19647,0.025
7252,19648,0.041
7252,19701,0.048
7252,19702,0.049
7252,19703,0.048
7252,19704,0.047
7252,19705,0.025
7252,19706,0.036
7252,19707,0.046
7252,19708,0.046
7252,19709,0.048
7252,19710,0.048
7252,19711,0.032
7252,19712,0.05
7252,19713,0.068
7252,19714,0.047
7252,19715,0.048
7252,19716,0.046
7252,19717,0.023
7252,19718,0.039
7252,19719,0.048
7252,19720,0.046
7252,19721,0.046
7252,19722,0.033
7252,19723,0.025
7252,19724,0.047
7252,19725,0.05
7252,19726,0.05
7252,19727,0.046
7252,19728,0.022
7252,19729,0.042
7252,19730,0.049
7252,19731,0.049
7252,19732,0.048
7252,19733,0.036
7252,19734,0.023
7252,19735,0.773
7252,19736,0.14
7252,19737,0.049
7252,19738,0.046
7252,19739,0.044
7252,19740,0.026
7252,19741,0.035
7252,19742,0.047
7252,19743,0.047
7252,19744,0.048
7252,19745,0.047
7252,19746,0.032
7252,19747,0.03
7252,19748,0.047
7252,19801,0.048
7252,19802,0.047
7252,19803,0.048
7252,19804,0.041
7252,19805,0.025
7252,19806,0.041
7252,19807,0.049
7252,19808,0.047
7252,19809,0.048
7252,19810,0.047
7252,19811,0.024
7252,19812,0.038
7252,19813,0.049
7252,19814,0.048
7252,19815,0.048
7252,19816,0.043
7252,19817,0.02
7252,19818,0.045
7252,19819,0.047
7252,19820,0.048
7252,19821,0.057
7252,19545,0.052
7252,19823,0.134
7252,19824,0.051
7252,19825,0.052
7252,19826,0.051
7252,19827,0.046
7252,19828,0.025
