Col0,Col1day,Col1min,Col2
7252,195,44,0.052
7252,195,43,0.052
7252,195,01,0.033
7252,195,02,0.03
7252,195,03,0.051
7252,195,04,0.051
7252,195,05,0.05
7252,195,06,0.051
7252,195,07,0.029
7252,195,08,0.034
7252,195,09,0.051
7252,195,10,0.051
7252,195,11,0.051
7252,195,12,0.038
7252,195,13,0.026
7252,195,14,0.049
7252,195,15,0.05
7252,195,16,0.05
7252,195,17,0.042
7252,195,18,0.021
7252,195,19,0.048
7252,195,20,0.048
7252,195,21,0.047
7252,195,22,0.047
7252,195,23,0.034
7252,195,24,0.028
7252,195,25,0.049
7252,195,26,0.049
7252,195,27,0.046
7252,195,28,0.049
7252,195,29,0.047
7252,195,30,0.022
7252,195,31,0.041
7252,195,32,0.047
7252,195,33,0.049
7252,195,34,0.616
7252,195,35,0.259
7252,195,36,0.073
7252,195,37,0.05
7252,195,38,0.051
7252,195,39,0.051
7252,195,40,0.051
7252,195,41,0.024
7252,195,42,0.046
7252,200,45,0.039
7252,200,46,0.052
7252,200,47,0.081
7252,200,48,0.078
7252,195,46,0.032
7252,195,47,0.037
7252,195,48,0.053
7252,196,01,0.052
7252,196,02,0.052
7252,196,03,0.038
7252,196,04,0.03
7252,196,05,0.053
7252,196,06,0.053
7252,196,07,0.051
7252,196,08,0.042
7252,196,09,0.025
7252,196,10,0.052
7252,196,11,0.053
7252,196,12,0.052
7252,196,13,0.046
7252,196,14,0.023
7252,196,15,0.054
7252,196,16,0.052
7252,196,17,0.05
7252,196,18,0.039
7252,196,19,0.028
7252,196,20,0.049
7252,196,21,0.047
7252,196,22,0.048
7252,196,23,0.032
7252,196,24,0.029
7252,196,25,0.048
7252,196,26,0.048
7252,196,27,0.047
7252,196,28,0.034
7252,196,29,0.025
7252,196,30,0.048
7252,196,31,0.047
7252,196,32,0.048
7252,196,33,0.048
7252,196,34,0.028
7252,196,35,0.032
7252,196,36,0.048
7252,196,37,0.047
7252,196,38,0.047
7252,196,39,0.048
7252,196,40,0.033
7252,196,41,0.027
7252,196,42,0.048
7252,196,43,0.046
7252,196,44,0.048
7252,196,45,0.048
7252,196,46,0.041
7252,196,47,0.025
7252,196,48,0.041
7252,197,01,0.048
7252,197,02,0.049
7252,197,03,0.048
7252,197,04,0.047
7252,197,05,0.025
7252,197,06,0.036
7252,197,07,0.046
7252,197,08,0.046
7252,197,09,0.048
7252,197,10,0.048
7252,197,11,0.032
7252,197,12,0.05
7252,197,13,0.068
7252,197,14,0.047
7252,197,15,0.048
7252,197,16,0.046
7252,197,17,0.023
7252,197,18,0.039
7252,197,19,0.048
7252,197,20,0.046
7252,197,21,0.046
7252,197,22,0.033
7252,197,23,0.025
7252,197,24,0.047
7252,197,25,0.05
7252,197,26,0.05
7252,197,27,0.046
7252,197,28,0.022
7252,197,29,0.042
7252,197,30,0.049
7252,197,31,0.049
7252,197,32,0.048
7252,197,33,0.036
7252,197,34,0.023
7252,197,35,0.773
7252,197,36,0.14
7252,197,37,0.049
7252,197,38,0.046
7252,197,39,0.044
7252,197,40,0.026
7252,197,41,0.035
7252,197,42,0.047
7252,197,43,0.047
7252,197,44,0.048
7252,197,45,0.047
7252,197,46,0.032
7252,197,47,0.03
7252,197,48,0.047
7252,198,01,0.048
7252,198,02,0.047
7252,198,03,0.048
7252,198,04,0.041
7252,198,05,0.025
7252,198,06,0.041
7252,198,07,0.049
7252,198,08,0.047
7252,198,09,0.048
7252,198,10,0.047
7252,198,11,0.024
7252,198,12,0.038
